"2014/03/12 02:05:49","11322","0","85","6164m","210m","919.00","47535"
"2014/03/12 02:05:52","11322","0","85","6323m","859m","723.00","46894"
"2014/03/12 02:05:56","11322","0","85","6357m","924m","1471.00","46831"
"2014/03/12 02:05:59","11322","0","85","6358m","928m","1531.00","46826"
"2014/03/12 02:06:03","11322","0","85","6358m","942m","1475.00","46811"
"2014/03/12 02:06:06","11322","0","85","6358m","950m","1426.00","46802"
"2014/03/12 02:06:09","11322","0","85","6358m","944m","1489.00","46806"
"2014/03/12 02:06:12","11322","0","85","6358m","945m","1444.00","46806"
"2014/03/12 02:06:16","11322","0","85","6358m","946m","1478.00","46806"
"2014/03/12 02:06:19","11322","0","85","6358m","945m","1442.00","46807"
"2014/03/12 02:06:22","11322","0","85","6358m","946m","1456.00","46805"
"2014/03/12 02:06:26","11322","0","85","6358m","947m","1418.00","46806"
"2014/03/12 02:06:29","11322","0","85","6358m","947m","1470.00","46806"
"2014/03/12 02:06:32","11322","0","85","6358m","947m","1395.00","46806"
"2014/03/12 02:06:35","11322","0","85","6358m","948m","1425.00","46804"
"2014/03/12 02:06:39","11322","0","85","6358m","949m","1442.00","46803"
"2014/03/12 02:06:42","11322","0","85","6358m","949m","1472.00","46803"
"2014/03/12 02:06:45","11322","0","85","6358m","949m","1431.00","46803"
"2014/03/12 02:06:48","11322","0","85","6358m","949m","1518.00","46803"
"2014/03/12 02:06:52","11322","0","85","6358m","950m","1429.00","46802"
"2014/03/12 02:06:55","11322","0","85","6358m","952m","1436.00","46800"
"2014/03/12 02:06:58","11322","0","85","6358m","954m","1444.00","46799"
"2014/03/12 02:07:01","11322","0","85","6358m","953m","1484.00","46800"
"2014/03/12 02:07:05","11322","0","85","6358m","953m","1442.00","46800"
"2014/03/12 02:07:08","11322","0","85","6358m","953m","1370.00","46799"
"2014/03/12 02:07:11","11322","0","85","6358m","953m","1488.00","46799"
"2014/03/12 02:07:15","11322","0","85","6358m","952m","1474.00","46800"
"2014/03/12 02:07:18","11322","0","85","6358m","954m","1483.00","46798"
"2014/03/12 02:07:21","11322","0","85","6358m","954m","1446.00","46799"
"2014/03/12 02:07:24","11322","0","85","6358m","955m","1457.00","46797"
"2014/03/12 02:07:27","11322","0","85","6358m","956m","1423.00","46797"
"2014/03/12 02:07:31","11322","0","85","6358m","956m","1435.00","46798"
"2014/03/12 02:07:34","11322","0","85","6358m","960m","1446.00","46793"
"2014/03/12 02:07:37","11322","0","85","6358m","960m","1456.00","46792"
"2014/03/12 02:07:41","11322","0","85","6358m","960m","1479.00","46793"
"2014/03/12 02:07:44","11322","0","85","6358m","960m","1420.00","46792"
"2014/03/12 02:07:47","11322","0","85","6358m","960m","1460.00","46793"
"2014/03/12 02:07:50","11322","0","85","6358m","960m","1484.00","46792"
"2014/03/12 02:07:54","11322","0","85","6358m","960m","1451.00","46792"
"2014/03/12 02:07:57","11322","0","85","6358m","960m","1384.00","46792"
"2014/03/12 02:08:00","11322","0","85","6358m","960m","1454.00","46791"
"2014/03/12 02:08:03","11322","0","85","6358m","960m","1420.00","46792"
"2014/03/12 02:08:07","11322","0","85","6358m","960m","1466.00","46793"
"2014/03/12 02:08:10","11322","0","85","6358m","960m","1412.00","46792"
"2014/03/12 02:08:13","11322","0","85","6358m","960m","1418.00","46792"
"2014/03/12 02:08:16","11322","0","85","6358m","960m","1450.00","46792"
"2014/03/12 02:08:20","11322","0","85","6358m","960m","1463.00","46792"
"2014/03/12 02:08:23","11322","0","85","6358m","960m","1454.00","46792"
"2014/03/12 02:08:26","11322","0","85","6358m","960m","1461.00","46792"
"2014/03/12 02:08:29","11322","0","85","6358m","960m","1473.00","46792"
"2014/03/12 02:08:33","11322","0","85","6358m","960m","1422.00","46791"
"2014/03/12 02:08:36","11322","0","85","6358m","960m","1484.00","46792"
"2014/03/12 02:08:39","11322","0","85","6358m","961m","1453.00","46791"
"2014/03/12 02:08:42","11322","0","85","6358m","960m","1470.00","46791"
"2014/03/12 02:08:46","11322","0","85","6358m","961m","1477.00","46791"
"2014/03/12 02:08:49","11322","0","85","6358m","960m","1460.00","46791"
"2014/03/12 02:08:52","11322","0","85","6358m","960m","1372.00","46791"
"2014/03/12 02:08:55","11322","0","85","6358m","960m","1446.00","46791"
"2014/03/12 02:08:59","11322","0","85","6358m","960m","1466.00","46791"
"2014/03/12 02:09:02","11322","0","85","6358m","960m","1460.00","46792"
"2014/03/12 02:09:05","11322","0","85","6358m","960m","1448.00","46792"
"2014/03/12 02:09:09","11322","0","85","6358m","960m","1436.00","46790"
"2014/03/12 02:09:12","11322","0","85","6358m","960m","1462.00","46790"
"2014/03/12 02:09:15","11322","0","85","6358m","960m","1468.00","46792"
