"2014/03/12 06:36:34","13464","0","1","0","0","0.00","47602"
"2014/03/12 06:36:38","5784","0","85","6318m","865m","1036.00","46758"
"2014/03/12 06:36:43","5784","0","85","6357m","926m","1388.00","46694"
"2014/03/12 06:36:47","5784","0","85","6357m","951m","1324.00","46672"
"2014/03/12 06:36:52","5784","0","85","6357m","970m","1488.00","46654"
"2014/03/12 06:36:56","5784","0","85","6357m","981m","1381.00","46644"
"2014/03/12 06:37:01","5784","0","85","6359m","982m","1438.00","46641"
"2014/03/12 06:37:05","5784","0","85","6359m","983m","1446.00","46640"
"2014/03/12 06:37:09","5784","0","85","6359m","984m","1432.00","46640"
"2014/03/12 06:37:14","5784","0","85","6359m","984m","1470.00","46640"
"2014/03/12 06:37:18","5784","0","85","6359m","984m","1483.00","46640"
"2014/03/12 06:37:22","5784","0","85","6359m","984m","1431.00","46638"
"2014/03/12 06:37:27","5784","0","85","6359m","985m","1432.00","46637"
"2014/03/12 06:37:31","5784","0","85","6359m","987m","1428.00","46637"
"2014/03/12 06:37:36","5784","0","85","6359m","986m","1474.00","46638"
"2014/03/12 06:37:40","5784","0","85","6359m","987m","1447.00","46636"
"2014/03/12 06:37:44","5784","0","85","6359m","987m","1459.00","46637"
"2014/03/12 06:37:49","5784","0","85","6359m","988m","1467.00","46635"
"2014/03/12 06:37:53","5784","0","85","6359m","990m","1436.00","46635"
"2014/03/12 06:37:57","5784","0","85","6359m","990m","1461.00","46634"
"2014/03/12 06:38:02","5784","0","85","6359m","990m","1466.00","46635"
"2014/03/12 06:38:06","5784","0","85","6359m","991m","1406.00","46633"
"2014/03/12 06:38:11","5784","0","85","6359m","993m","1452.00","46631"
"2014/03/12 06:38:15","5784","0","85","6359m","994m","1490.00","46630"
"2014/03/12 06:38:19","5784","0","85","6359m","993m","1480.00","46631"
"2014/03/12 06:38:24","5784","0","85","6359m","993m","1450.00","46629"
"2014/03/12 06:38:28","5784","0","85","6359m","994m","1446.00","46629"
"2014/03/12 06:38:33","5784","0","85","6359m","994m","1456.00","46629"
"2014/03/12 06:38:37","5784","0","85","6359m","994m","1442.00","46629"
"2014/03/12 06:38:41","5784","0","85","6359m","995m","1433.00","46628"
"2014/03/12 06:38:46","5784","0","85","6359m","994m","1450.00","46628"
"2014/03/12 06:38:50","5784","0","85","6359m","995m","1448.00","46628"
"2014/03/12 06:38:55","5784","0","85","6359m","995m","1418.00","46629"
"2014/03/12 06:38:59","5784","0","85","6359m","994m","1444.00","46629"
"2014/03/12 06:39:03","5784","0","85","6359m","995m","1446.00","46628"
"2014/03/12 06:39:08","5784","0","85","6359m","994m","1409.00","46628"
"2014/03/12 06:39:12","5784","0","85","6359m","999m","1449.00","46626"
"2014/03/12 06:39:17","5784","0","85","6359m","998m","1492.00","46626"
"2014/03/12 06:39:21","5784","0","85","6359m","998m","1466.00","46626"
"2014/03/12 06:39:25","5784","0","85","6359m","998m","1456.00","46624"
"2014/03/12 06:39:30","5784","0","85","6359m","998m","1438.00","46626"
"2014/03/12 06:39:34","5784","0","85","6359m","998m","1474.00","46625"
"2014/03/12 06:39:38","5784","0","85","6359m","998m","1424.00","46627"
"2014/03/12 06:39:43","5784","0","85","6359m","998m","1484.00","46625"
"2014/03/12 06:39:47","5784","0","85","6359m","998m","1476.00","46626"
"2014/03/12 06:39:52","5784","0","85","6359m","998m","1432.00","46625"
"2014/03/12 06:39:56","5784","0","85","6359m","998m","1445.00","46624"
"2014/03/12 06:40:00","5784","0","85","6359m","998m","1446.00","46624"
"2014/03/12 06:40:05","5784","0","85","6359m","998m","1492.00","46626"
"2014/03/12 06:40:09","5784","0","85","6359m","998m","1496.00","46625"
"2014/03/12 06:40:14","5784","0","85","6359m","998m","1472.00","46624"
"2014/03/12 06:40:18","5784","0","85","6359m","998m","1462.00","46625"
"2014/03/12 06:40:22","5784","0","85","6359m","998m","1451.00","46625"
"2014/03/12 06:40:27","5784","0","85","6359m","998m","1451.00","46625"
"2014/03/12 06:40:31","5784","0","85","6359m","998m","1480.00","46626"
"2014/03/12 06:40:36","5784","0","85","6359m","998m","1468.00","46625"
"2014/03/12 06:40:40","5784","0","85","6359m","998m","1473.00","46626"
"2014/03/12 06:40:44","5784","0","85","6359m","999m","1420.00","46624"
"2014/03/12 06:40:49","5784","0","85","6359m","999m","1434.00","46624"
"2014/03/12 06:40:53","5784","0","85","6359m","998m","1508.00","46625"
"2014/03/12 06:40:58","5784","0","85","6359m","998m","1422.00","46626"
"2014/03/12 06:41:02","5784","0","85","6359m","998m","1466.00","46625"
"2014/03/12 06:41:06","5784","0","85","6359m","1.0g","1466.00","46604"
"2014/03/12 06:41:11","5784","0","85","6359m","1.0g","1470.00","46603"
"2014/03/12 06:41:15","5784","0","85","6359m","1.0g","1474.00","46603"
"2014/03/12 06:41:20","5784","0","85","6359m","1.0g","1496.00","46604"
"2014/03/12 06:41:24","5784","0","85","6359m","1.0g","1477.00","46603"
"2014/03/12 06:41:29","5784","0","85","6359m","1.0g","1420.00","46604"
"2014/03/12 06:41:33","5784","0","85","6359m","1.0g","1482.00","46605"
"2014/03/12 06:41:37","5784","0","85","6359m","1.0g","1476.00","46604"
"2014/03/12 06:41:42","5784","0","85","6359m","1.0g","1479.00","46604"
"2014/03/12 06:41:46","5784","0","85","6359m","1.0g","1455.00","46603"
"2014/03/12 06:41:50","5784","0","85","6359m","1.0g","1446.00","46604"
"2014/03/12 06:41:55","5784","0","85","6359m","1.0g","1439.00","46604"
"2014/03/12 06:41:59","5784","0","85","6359m","1.0g","1446.00","46603"
"2014/03/12 06:42:03","5784","0","85","6359m","1.0g","1518.00","46603"
"2014/03/12 06:42:08","5784","0","85","6359m","1.0g","1422.00","46603"
"2014/03/12 06:42:12","5784","0","85","6359m","1.0g","1456.00","46605"
"2014/03/12 06:42:17","5784","0","85","6359m","1.0g","1465.00","46603"
"2014/03/12 06:42:21","5784","0","85","6359m","1.0g","1446.00","46603"
"2014/03/12 06:42:25","5784","0","85","6359m","1.0g","1393.00","46603"
"2014/03/12 06:42:30","5784","0","85","6359m","1.0g","1462.00","46604"
"2014/03/12 06:42:34","5784","0","85","6359m","1.0g","1462.00","46604"
"2014/03/12 06:42:39","5784","0","85","6359m","1.0g","1432.00","46602"
"2014/03/12 06:42:43","5784","0","85","6359m","1.0g","1474.00","46604"
"2014/03/12 06:42:47","5784","0","85","6359m","1.0g","1424.00","46603"
"2014/03/12 06:42:52","5784","0","85","6359m","1.0g","1448.00","46604"
"2014/03/12 06:42:56","5784","0","85","6359m","1.0g","1480.00","46604"
"2014/03/12 06:43:00","5784","0","85","6359m","1.0g","1478.00","46602"
"2014/03/12 06:43:05","5784","0","85","6359m","1.0g","1447.00","46603"
"2014/03/12 06:43:09","5784","0","85","6359m","1.0g","1416.00","46604"
"2014/03/12 06:43:14","5784","0","85","6359m","1.0g","1427.00","46603"
"2014/03/12 06:43:18","5784","0","85","6359m","1.0g","1348.00","46604"
"2014/03/12 06:43:22","5784","0","85","6359m","1.0g","1466.00","46605"
"2014/03/12 06:43:27","5784","0","85","6359m","1.0g","1417.00","46602"
"2014/03/12 06:43:31","5784","0","85","6359m","1.0g","1368.00","46601"
"2014/03/12 06:43:35","5784","0","85","6359m","1.0g","1441.00","46601"
"2014/03/12 06:43:40","5784","0","85","6359m","1.0g","1462.00","46600"
"2014/03/12 06:43:44","5784","0","85","6359m","1.0g","1484.00","46601"
"2014/03/12 06:43:49","5784","0","85","6359m","1.0g","1471.00","46599"
"2014/03/12 06:43:53","5784","0","85","6359m","1.0g","1454.00","46600"
"2014/03/12 06:43:57","5784","0","85","6359m","1.0g","1452.00","46601"
"2014/03/12 06:44:02","5784","0","85","6359m","1.0g","1456.00","46601"
"2014/03/12 06:44:06","5784","0","85","6359m","1.0g","1464.00","46601"
"2014/03/12 06:44:11","5784","0","85","6359m","1.0g","1449.00","46600"
"2014/03/12 06:44:15","5784","0","85","6359m","1.0g","1437.00","46600"
"2014/03/12 06:44:19","5784","0","85","6359m","1.0g","1442.00","46600"
"2014/03/12 06:44:24","5784","0","85","6359m","1.0g","1430.00","46600"
"2014/03/12 06:44:28","5784","0","85","6359m","1.0g","1478.00","46600"
"2014/03/12 06:44:32","5784","0","85","6359m","1.0g","1478.00","46599"
"2014/03/12 06:44:37","5784","0","85","6359m","1.0g","1456.00","46601"
"2014/03/12 06:44:41","5784","0","85","6359m","1.0g","1422.00","46601"
"2014/03/12 06:44:46","5784","0","85","6359m","1.0g","1459.00","46598"
"2014/03/12 06:44:50","5784","0","85","6359m","1.0g","1478.00","46600"
"2014/03/12 06:44:54","5784","0","85","6359m","1.0g","1448.00","46599"
"2014/03/12 06:44:59","5784","0","85","6359m","1.0g","1453.00","46600"
"2014/03/12 06:45:03","5784","0","85","6359m","1.0g","1216.00","46600"
"2014/03/12 06:45:07","5784","0","85","6359m","1.0g","1486.00","46600"
"2014/03/12 06:45:12","5784","0","85","6359m","1.0g","1422.00","46600"
"2014/03/12 06:45:16","5784","0","85","6359m","1.0g","1494.00","46599"
"2014/03/12 06:45:21","5784","0","85","6359m","1.0g","1463.00","46600"
"2014/03/12 06:45:25","5784","0","85","6359m","1.0g","1498.00","46600"
"2014/03/12 06:45:29","5784","0","85","6359m","1.0g","1490.00","46601"
"2014/03/12 06:45:34","5784","0","85","6359m","1.0g","1474.00","46600"
"2014/03/12 06:45:38","5784","0","85","6359m","1.0g","1469.00","46600"
"2014/03/12 06:45:43","5784","0","85","6359m","1.0g","1443.00","46599"
"2014/03/12 06:45:47","5784","0","85","6359m","1.0g","1469.00","46600"
"2014/03/12 06:45:51","5784","0","85","6359m","1.0g","1472.00","46599"
"2014/03/12 06:45:56","5784","0","85","6359m","1.0g","1417.00","46592"
"2014/03/12 06:46:00","5784","0","85","6359m","1.0g","1442.00","46591"
"2014/03/12 06:46:05","5784","0","85","6359m","1.0g","1518.00","46590"
"2014/03/12 06:46:09","5784","0","85","6359m","1.0g","1438.00","46590"
"2014/03/12 06:46:13","5784","0","85","6359m","1.0g","1462.00","46589"
"2014/03/12 06:46:18","5784","0","85","6359m","1.0g","1456.00","46591"
"2014/03/12 06:46:22","5784","0","85","6359m","1.0g","1466.00","46589"
"2014/03/12 06:46:26","5784","0","85","6359m","1.0g","1440.00","46591"
"2014/03/12 06:46:31","5784","0","85","6359m","1.0g","1455.00","46590"
"2014/03/12 06:46:35","5784","0","85","6359m","1.0g","1440.00","46590"
"2014/03/12 06:46:40","5784","0","85","6359m","1.0g","1424.00","46592"
"2014/03/12 06:46:44","5784","0","85","6359m","1.0g","1496.00","46591"
"2014/03/12 06:46:49","5784","0","85","6359m","1.0g","1477.00","46590"
"2014/03/12 06:46:53","5784","0","85","6359m","1.0g","1446.00","46591"
"2014/03/12 06:46:57","5784","0","85","6359m","1.0g","1460.00","46592"
"2014/03/12 06:47:02","5784","0","85","6359m","1.0g","1455.00","46589"
"2014/03/12 06:47:06","5784","0","85","6359m","1.0g","1444.00","46591"
"2014/03/12 06:47:11","5784","0","85","6359m","1.0g","1448.00","46591"
"2014/03/12 06:47:15","5784","0","85","6359m","1.0g","1464.00","46584"
"2014/03/12 06:47:19","5784","0","85","6359m","1.0g","1482.00","46579"
"2014/03/12 06:47:24","5784","0","85","6359m","1.0g","1427.00","46579"
"2014/03/12 06:47:28","5784","0","85","6359m","1.0g","1472.00","46578"
"2014/03/12 06:47:33","5784","0","85","6359m","1.0g","1441.00","46578"
"2014/03/12 06:47:37","5784","0","85","6359m","1.0g","1478.00","46578"
"2014/03/12 06:47:41","5784","0","85","6359m","1.0g","1496.00","46577"
"2014/03/12 06:47:46","5784","0","85","6359m","1.0g","1460.00","46578"
"2014/03/12 06:47:50","5784","0","85","6359m","1.0g","1466.00","46579"
"2014/03/12 06:47:54","5784","0","85","6359m","1.0g","1440.00","46578"
"2014/03/12 06:47:59","5784","0","85","6359m","1.0g","1483.00","46578"
"2014/03/12 06:48:03","5784","0","85","6359m","1.0g","1478.00","46580"
"2014/03/12 06:48:08","5784","0","85","6359m","1.0g","1426.00","46578"
"2014/03/12 06:48:12","5784","0","85","6359m","1.0g","1470.00","46579"
"2014/03/12 06:48:16","5784","0","85","6359m","1.0g","1437.00","46579"
