"2014/03/12 03:36:28","6364","0","444","6548m","328m","166.00","47394"
"2014/03/12 03:36:29","6364","0","444","6584m","553m","872.00","47168"
"2014/03/12 03:36:31","6364","0","444","6835m","852m","839.00","46869"
"2014/03/12 03:36:32","6364","0","444","7222m","1.3g","811.00","46406"
"2014/03/12 03:36:34","6364","0","444","7774m","1.8g","808.00","45905"
"2014/03/12 03:36:36","6364","0","444","8267m","2.3g","825.00","45360"
"2014/03/12 03:36:37","6364","0","444","8234m","2.3g","739.00","45353"
"2014/03/12 03:36:39","6364","0","444","8304m","2.3g","932.00","45345"
"2014/03/12 03:36:40","6364","0","444","8304m","2.3g","807.00","45341"
"2014/03/12 03:36:42","6364","0","444","8304m","2.3g","824.00","45341"
"2014/03/12 03:36:43","6364","0","444","8304m","2.3g","793.00","45341"
"2014/03/12 03:36:45","6364","0","444","8304m","2.3g","795.00","45342"
"2014/03/12 03:36:46","6364","0","444","8304m","2.3g","795.00","45339"
"2014/03/12 03:36:48","6364","0","444","8304m","2.3g","791.00","45340"
"2014/03/12 03:36:49","6364","0","444","8304m","2.3g","809.00","45340"
"2014/03/12 03:36:51","6364","0","444","8304m","2.3g","800.00","45341"
"2014/03/12 03:36:53","6364","0","444","8304m","2.3g","894.00","45327"
"2014/03/12 03:36:54","6364","0","444","8304m","2.3g","795.00","45328"
"2014/03/12 03:36:56","6364","0","444","8304m","2.3g","795.00","45328"
"2014/03/12 03:36:57","6364","0","444","8300m","2.3g","798.00","45342"
"2014/03/12 03:36:59","6364","0","444","8300m","2.3g","795.00","45342"
"2014/03/12 03:37:00","6364","0","444","8300m","2.3g","797.00","45343"
"2014/03/12 03:37:02","6364","0","444","8300m","2.3g","793.00","45343"
"2014/03/12 03:37:03","6364","0","444","8300m","2.3g","801.00","45347"
"2014/03/12 03:37:05","6364","0","444","8300m","2.3g","795.00","45347"
"2014/03/12 03:37:06","6364","0","444","8300m","2.3g","793.00","45347"
"2014/03/12 03:37:08","6364","0","444","8300m","2.3g","796.00","45347"
"2014/03/12 03:37:09","6364","0","444","8300m","2.3g","795.00","45346"
"2014/03/12 03:37:11","6364","0","444","8300m","2.3g","795.00","45347"
"2014/03/12 03:37:13","6364","0","444","8299m","2.3g","797.00","45349"
"2014/03/12 03:37:14","6364","0","444","8299m","2.3g","793.00","45348"
"2014/03/12 03:37:16","6364","0","444","8299m","2.3g","810.00","45347"
"2014/03/12 03:37:17","6364","0","444","8299m","2.3g","798.00","45347"
"2014/03/12 03:37:19","6364","0","444","8299m","2.3g","794.00","45348"
"2014/03/12 03:37:20","6364","0","444","8299m","2.3g","795.00","45348"
"2014/03/12 03:37:22","6364","0","444","8299m","2.3g","797.00","45348"
"2014/03/12 03:37:23","6364","0","444","8299m","2.3g","788.00","45348"
"2014/03/12 03:37:25","6364","0","444","8299m","2.3g","804.00","45348"
"2014/03/12 03:37:26","6364","0","444","8299m","2.3g","798.00","45347"
"2014/03/12 03:37:28","6364","0","444","8299m","2.3g","795.00","45348"
"2014/03/12 03:37:29","6364","0","444","8299m","2.3g","793.00","45347"
"2014/03/12 03:37:31","6364","0","444","8299m","2.3g","809.00","45348"
"2014/03/12 03:37:33","6364","0","444","8299m","2.3g","793.00","45347"
"2014/03/12 03:37:34","6364","0","444","8299m","2.3g","794.00","45347"
"2014/03/12 03:37:36","6364","0","444","8299m","2.3g","794.00","45347"
"2014/03/12 03:37:37","6364","0","444","8299m","2.3g","795.00","45347"
"2014/03/12 03:37:39","6364","0","444","8299m","2.3g","795.00","45346"
"2014/03/12 03:37:40","6364","0","444","8299m","2.3g","796.00","45348"
"2014/03/12 03:37:42","6364","0","444","8299m","2.3g","777.00","45347"
"2014/03/12 03:37:43","6364","0","444","8299m","2.3g","793.00","45347"
"2014/03/12 03:37:45","6364","0","444","8299m","2.3g","799.00","45346"
"2014/03/12 03:37:46","6364","0","444","8299m","2.3g","792.00","45346"
