"2014/03/12 19:02:31","9300","0","444","6091m","112m","124.00","47614"
"2014/03/12 19:02:33","9300","0","444","6110m","171m","118.00","47558"
"2014/03/12 19:02:34","9300","0","444","6201m","216m","122.00","47512"
"2014/03/12 19:02:36","9300","0","444","6238m","258m","118.00","47472"
"2014/03/12 19:02:37","9300","0","444","6271m","298m","110.00","47429"
"2014/03/12 19:02:39","9300","0","444","6314m","345m","152.00","47384"
"2014/03/12 19:02:40","9300","0","444","6354m","396m","176.00","47334"
"2014/03/12 19:02:42","9300","0","444","6396m","436m","104.00","47293"
"2014/03/12 19:02:43","9300","0","444","6435m","481m","102.00","47248"
"2014/03/12 19:02:45","9300","0","444","6478m","523m","102.00","47206"
"2014/03/12 19:02:46","9300","0","444","6521m","567m","114.00","47162"
"2014/03/12 19:02:48","9300","0","444","6563m","610m","106.00","47121"
"2014/03/12 19:02:50","9300","0","444","6582m","640m","106.00","47090"
"2014/03/12 19:02:51","9300","0","444","6583m","649m","132.00","47079"
"2014/03/12 19:02:53","9300","0","444","6583m","657m","262.00","47072"
"2014/03/12 19:02:54","9300","0","444","6583m","657m","108.00","47072"
"2014/03/12 19:02:56","9300","0","444","6583m","652m","104.00","47078"
"2014/03/12 19:02:57","9300","0","444","6583m","654m","104.00","47076"
"2014/03/12 19:02:59","9300","0","444","6583m","654m","110.00","47076"
"2014/03/12 19:03:00","9300","0","444","6647m","652m","104.00","47078"
"2014/03/12 19:03:02","9300","0","444","6647m","652m","108.00","47078"
"2014/03/12 19:03:03","9300","0","444","6647m","649m","102.00","47082"
"2014/03/12 19:03:05","9300","0","444","6647m","649m","104.00","47080"
"2014/03/12 19:03:06","9300","0","444","6711m","653m","120.00","47077"
"2014/03/12 19:03:08","9300","0","444","6711m","652m","112.00","47078"
"2014/03/12 19:03:10","9300","0","444","6711m","652m","116.00","47079"
"2014/03/12 19:03:11","9300","0","444","6711m","664m","174.00","47066"
"2014/03/12 19:03:13","9300","0","444","6711m","663m","102.00","47067"
"2014/03/12 19:03:14","9300","0","444","6711m","663m","100.00","47066"
"2014/03/12 19:03:16","9300","0","444","6711m","663m","98.00","47066"
"2014/03/12 19:03:17","9300","0","444","6711m","663m","106.00","47067"
"2014/03/12 19:03:19","9300","0","444","6711m","663m","100.00","47067"
"2014/03/12 19:03:20","9300","0","444","6711m","663m","100.00","47066"
"2014/03/12 19:03:22","9300","0","444","6711m","663m","102.00","47066"
"2014/03/12 19:03:23","9300","0","444","6711m","663m","102.00","47067"
"2014/03/12 19:03:25","9300","0","444","6711m","663m","104.00","47066"
"2014/03/12 19:03:26","9300","0","444","6711m","663m","100.00","47067"
"2014/03/12 19:03:28","9300","0","444","6711m","663m","100.00","47066"
"2014/03/12 19:03:30","9300","0","444","6711m","663m","102.00","47066"
"2014/03/12 19:03:31","9300","0","444","6711m","663m","102.00","47067"
"2014/03/12 19:03:33","9300","0","444","6711m","663m","104.00","47067"
"2014/03/12 19:03:34","9300","0","444","6711m","664m","114.00","47067"
"2014/03/12 19:03:36","9300","0","444","6711m","664m","100.00","47066"
"2014/03/12 19:03:37","9300","0","444","6711m","664m","102.00","47066"
"2014/03/12 19:03:39","9300","0","444","6711m","664m","102.00","47066"
"2014/03/12 19:03:40","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:03:42","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:03:43","9300","0","444","6775m","664m","100.00","47067"
"2014/03/12 19:03:45","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:03:46","9300","0","444","6775m","664m","100.00","47066"
"2014/03/12 19:03:48","9300","0","444","6775m","664m","100.00","47066"
"2014/03/12 19:03:50","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:03:51","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:03:53","9300","0","444","6775m","664m","100.00","47067"
"2014/03/12 19:03:54","9300","0","444","6775m","664m","100.00","47066"
"2014/03/12 19:03:56","9300","0","444","6775m","664m","102.00","47066"
"2014/03/12 19:03:57","9300","0","444","6775m","664m","106.00","47067"
"2014/03/12 19:03:59","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:04:00","9300","0","444","6775m","664m","104.00","47066"
"2014/03/12 19:04:02","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:04:03","9300","0","444","6775m","664m","100.00","47067"
"2014/03/12 19:04:05","9300","0","444","6775m","664m","100.00","47066"
"2014/03/12 19:04:06","9300","0","444","6775m","664m","102.00","47066"
"2014/03/12 19:04:08","9300","0","444","6775m","664m","100.00","47066"
"2014/03/12 19:04:10","9300","0","444","6775m","664m","102.00","47066"
"2014/03/12 19:04:11","9300","0","444","6775m","664m","102.00","47067"
"2014/03/12 19:04:13","9300","0","444","6775m","664m","100.00","47066"
"2014/03/12 19:04:14","9300","0","444","6775m","664m","100.00","47066"
