"2014/03/12 19:29:40","4773","0","444","6470m","164m","844.00","47552"
"2014/03/12 19:29:42","4773","0","444","6408m","167m","841.00","47549"
"2014/03/12 19:29:44","4773","0","444","6439m","167m","728.00","47547"
"2014/03/12 19:29:45","4773","0","444","6438m","163m","745.00","47551"
"2014/03/12 19:29:47","4773","0","444","6438m","163m","733.00","47541"
"2014/03/12 19:29:48","4773","0","444","6438m","163m","627.00","47479"
"2014/03/12 19:29:50","4773","0","444","6438m","163m","539.00","47477"
"2014/03/12 19:29:51","4773","0","444","6438m","160m","729.00","47480"
"2014/03/12 19:29:53","4773","0","444","6438m","160m","738.00","47479"
"2014/03/12 19:29:54","4773","0","444","6438m","160m","732.00","47475"
"2014/03/12 19:29:56","4773","0","444","6438m","160m","741.00","47475"
"2014/03/12 19:29:57","4773","0","444","6438m","160m","724.00","47475"
"2014/03/12 19:29:59","4773","0","444","6438m","160m","739.00","47475"
"2014/03/12 19:30:01","4773","0","444","6438m","163m","744.00","47471"
"2014/03/12 19:30:02","4773","0","444","6438m","160m","745.00","47475"
"2014/03/12 19:30:04","4773","0","444","6438m","160m","749.00","47474"
"2014/03/12 19:30:05","4773","0","444","6438m","160m","355.00","47474"
"2014/03/12 19:30:07","4773","0","444","6438m","161m","758.00","47474"
"2014/03/12 19:30:08","4773","0","444","6438m","161m","0.00","47474"
