"2014/03/12 19:34:29","10772","0","444","6089m","76m","132.00","47649"
"2014/03/12 19:34:31","10772","0","444","6090m","118m","210.00","47607"
"2014/03/12 19:34:32","10772","0","444","6091m","139m","293.00","47587"
"2014/03/12 19:34:34","10772","0","444","6091m","153m","257.00","47573"
"2014/03/12 19:34:35","10772","0","444","6091m","157m","118.00","47568"
"2014/03/12 19:34:37","10772","0","444","6091m","157m","112.00","47568"
"2014/03/12 19:34:38","10772","0","444","6091m","157m","114.00","47568"
"2014/03/12 19:34:40","10772","0","444","6155m","157m","154.00","47569"
"2014/03/12 19:34:41","10772","0","444","6156m","158m","102.00","47567"
"2014/03/12 19:34:43","10772","0","444","6156m","158m","100.00","47567"
"2014/03/12 19:34:45","10772","0","444","6156m","158m","104.00","47569"
"2014/03/12 19:34:46","10772","0","444","6156m","158m","102.00","47569"
"2014/03/12 19:34:48","10772","0","444","6220m","158m","104.00","47570"
"2014/03/12 19:34:49","10772","0","444","6220m","154m","110.00","47573"
"2014/03/12 19:34:51","10772","0","444","6220m","154m","100.00","47572"
"2014/03/12 19:34:52","10772","0","444","6220m","154m","104.00","47573"
"2014/03/12 19:34:54","10772","0","444","6220m","155m","100.00","47573"
"2014/03/12 19:34:55","10772","0","444","6220m","155m","0.00","47572"
"2014/03/12 19:34:57","10772","0","444","6220m","155m","0.00","47571"
"2014/03/12 19:34:58","10772","0","444","6220m","155m","54.00","47572"
"2014/03/12 19:35:00","10772","0","444","6220m","155m","104.00","47572"
"2014/03/12 19:35:01","10772","0","444","6220m","155m","106.00","47572"
"2014/03/12 19:35:03","10772","0","444","6220m","155m","100.00","47572"
"2014/03/12 19:35:05","10772","0","444","6220m","155m","100.00","47573"
"2014/03/12 19:35:06","10772","0","444","6220m","155m","100.00","47572"
"2014/03/12 19:35:08","10772","0","444","6220m","155m","102.00","47573"
"2014/03/12 19:35:09","10772","0","444","6220m","155m","102.00","47573"
"2014/03/12 19:35:11","10772","0","444","6220m","155m","100.00","47572"
"2014/03/12 19:35:12","10772","0","444","6284m","155m","118.00","47573"
"2014/03/12 19:35:14","10772","0","444","6284m","155m","102.00","47573"
"2014/03/12 19:35:15","10772","0","444","6284m","155m","0.00","47572"
