\Process(dwm)\ID Process
\Process(dwm)\Handle Count
\Process(dwm)\Thread count
\Process(dwm)\Working Set
\Process(dwm)\% Processor Time
\Process(dwm)\private Bytes
Time                     ID Process          Handle Count        Thread count        Working Set         % Processor Time    private Bytes
2014/09/12 16:38:48      1164                155                 5                   71M                 0.00                32690176
2014/09/12 16:38:49      1164                155                 5                   71M                 4.64                32690176
2014/09/12 16:38:50      1164                154                 5                   71M                 3.09                32694272
2014/09/12 16:38:51      1164                154                 5                   71M                 4.63                32702464
2014/09/12 16:38:52      1164                154                 5                   71M                 1.54                32694272
2014/09/12 16:38:53      1164                154                 5                   71M                 1.54                32702464
2014/09/12 16:38:54      1164                154                 5                   71M                 12.37               32694272
2014/09/12 16:38:55      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:38:56      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:38:57      1164                154                 5                   71M                 1.52                32702464
2014/09/12 16:38:58      1164                154                 5                   71M                 7.72                32702464
2014/09/12 16:38:59      1164                154                 5                   71M                 1.54                32694272
2014/09/12 16:39:00      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:01      1164                154                 5                   71M                 3.09                32702464
2014/09/12 16:39:02      1164                154                 5                   71M                 0.00                32702464
2014/09/12 16:39:03      1164                154                 5                   71M                 1.54                32702464
2014/09/12 16:39:04      1164                154                 5                   71M                 1.54                32694272
2014/09/12 16:39:05      1164                154                 5                   71M                 1.54                32702464
2014/09/12 16:39:06      1164                154                 5                   71M                 3.09                32694272
2014/09/12 16:39:07      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:08      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:09      1164                154                 5                   71M                 3.09                32694272
2014/09/12 16:39:10      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:11      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:12      1164                154                 5                   71M                 1.54                32702464
2014/09/12 16:39:13      1164                154                 5                   71M                 3.09                32702464
2014/09/12 16:39:14      1164                154                 5                   71M                 3.09                32694272
2014/09/12 16:39:15      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:16      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:17      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:18      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:19      1164                154                 5                   71M                 1.54                32702464
2014/09/12 16:39:20      1164                154                 5                   71M                 3.09                32702464
2014/09/12 16:39:21      1164                154                 5                   71M                 3.09                32702464
2014/09/12 16:39:22      1164                154                 5                   71M                 3.09                32702464
2014/09/12 16:39:23      1164                154                 5                   71M                 0.00                32694272
2014/09/12 16:39:24      1164                154                 5                   71M                 3.09                32694272
2014/09/12 16:39:25      1164                154                 5                   71M                 3.09                32694272
2014/09/12 16:39:26      1164                154                 5                   71M                 1.54                32694272
